Name,Facility ID (CCN),Parent System/Company,PE Firm,Currently PE?,State,Address,City,Zip,County,Date last acquired by PE,Previous Owner Type,Hospital Ownership,Type,Region,Payment Designation,Hospital Overall Rating,HCRIS Acute,HCRIS Beds,POS Certified Beds,POS Total Beds,PSF Beds,Emergency Services,fips
MOUNT NITTANY MEDICAL CENTER,390268,,,N,PA,1800 EAST PARK AVE,STATE COLLEGE,16803,CENTRE,,,Voluntary non-profit - Private,Acute Care Hospitals,Northeast ,SCH,5,248,,231,260,235,Yes,42
MOUNT PLEASANT HOSPITAL,420104,,,N,SC,3510 HIGHWAY 17 NORTH SUITE 140,MOUNT PLEASANT,29466,CHARLESTON,,,Voluntary non-profit - Private,Acute Care Hospitals,South ,PPS,5,84,,85,85,84,Yes,45
MOUNT SINAI BETH ISRAEL,330169,,,N,NY,FIRST AVENUE AT 16TH STREET,NEW YORK,10003,NEW YORK,,,Voluntary non-profit - Private,Acute Care Hospitals,Northeast ,RRC,3,457,,1111,1111,450,Yes,36
MOUNT SINAI HOSPITAL,330024,,,N,NY,ONE GUSTAVE L LEVY PLACE,NEW YORK,10029,NEW YORK,,,Voluntary non-profit - Private,Acute Care Hospitals,Northeast ,PPS,4,1087,,1171,1171,1051,Yes,36
MOUNT SINAI MEDICAL CENTER,10T034,,,N,FL,INPATIENT REHAB DEPT.,MIAMI BEACH,,Miami-Dade,,,Non-profit,Rehabilitation hospital,South ,,,,,,,,,12
"MOUNT SINAI MEDICAL CENTER OF FLORIDA, INC",100034,,,N,FL,4300 ALTON RD,MIAMI BEACH,33140,MIAMI-DADE,,,Voluntary non-profit - Private,Acute Care Hospitals,South ,PPS,3,481,,672,672,463,Yes,12
MOUNT SINAI REHABILITATION HOSPITAL INC,073025,,,N,CT,490 BLUE HILLS AVENUE,HARTFORD,6112,Hartford,,,Non-profit,Rehabilitation hospital,Northeast ,,,,60,60,60,,,09
MOUNT SINAI SOUTH NASSAU,330198,,,N,NY,ONE HEALTHY WAY,OCEANSIDE,11572,NASSAU,,,Voluntary non-profit - Private,Acute Care Hospitals,Northeast ,PPS,2,311,,435,435,312,Yes,36
MOUNT SINAI ST LUKE'S ROOSEVELT HOSPITAL,330046,,,N,NY,1000 TENTH AVENUE,NEW YORK,10019,NEW YORK,,,Voluntary non-profit - Private,Acute Care Hospitals,Northeast ,RRC,3,659,,1028,1028,671,Yes,36
MOUNT ST. MARY'S HOSPITAL & HEALTH CENTER,330188,,,N,NY,5300 MILITARY ROAD,LEWISTON,14092,NIAGARA,,,Voluntary non-profit - Church,Acute Care Hospitals,Northeast ,PPS,3,175,,179,179,174,Yes,36
MOUNT WASHINGTON PEDIATRIC HOSPITAL,213300,,,N,MD,1708 WEST ROGERS AVENUE,BALTIMORE,21209,BALTIMORE CITY,,,Voluntary non-profit - Private,Childrens,South ,,Not Available,,,117,117,,No,24
MOUNTAIN HOME VA MEDICAL CENTER,44016F,,,N,TN,CORNER OF LAMONT STREET AND VETERANS WAY,MOUNTAIN HOME,,WASHINGTON,,,Veterans Health Administration,Acute Care - Veterans Administration,South ,,4,,,,,,Yes,47
MOUNTAIN LAKES MEDICAL CENTER,111336,MEREM Medical,,N,GA,162 LEGACY POINT,CLAYTON,30525,RABUN,,,Proprietary,Critical Access Hospitals,South ,CAH,Not Available,25,,25,25,,Yes,13
MOUNTAIN VIEW HOSPITAL,460013,HCA Healthcare,,N,UT,1000 EAST 100 NORTH,PAYSON,84651,UTAH,,,Proprietary,Acute Care Hospitals,West ,PPS,5,124,,126,126,124,Yes,49
MOUNTAIN VIEW REGIONAL MEDICAL CENTER,320085,Community Health Systems,,N,NM,4311 EAST LOHMAN AVENUE,LAS CRUCES,88011,DONA ANA,,,Proprietary,Acute Care Hospitals,West ,PPS,1,176,,168,168,169,Yes,35
MOUNTAIN VIEW REGIONAL MEDICAL CENTER,32T085,Community Health Systems,,N,NM,4311 EAST LOHMAN AVENUE,LAS CRUCES,,Dona Ana,,,For profit,Rehabilitation hospital,West ,,,,,,,,,35
"MOUNTAIN VISTA MEDICAL CENTER, LP",030121,Steward Health Care,Cerberus Capital,N,AZ,1301 SOUTH CRISMON ROAD,MESA,85209,MARICOPA,,,Proprietary,Acute Care Hospitals,West ,RRC,1,162,,178,178,136,Yes,04
MOUNTAINS COMMUNITY HOSPITAL,051312,,,N,CA,29101 HOSPITAL ROAD,LAKE ARROWHEAD,92352,SAN BERNARDINO,,,Government - Hospital District or Authority,Critical Access Hospitals,West ,CAH,Not Available,17,,17,17,,Yes,06
MOUNTAINVIEW HOSPITAL,290039,HCA Healthcare,,N,NV,3100 N TENAYA WAY,LAS VEGAS,89128,CLARK,,,Proprietary,Acute Care Hospitals,West ,PPS,4,363,,407,407,297,Yes,32
MOUNTAINVIEW HOSPITAL,29T039,HCA Healthcare,,N,NV,3100 N TENAYA WAY,LAS VEGAS,,Clark,,,For profit,Rehabilitation hospital,West ,,,,,,,,,32
MOUNTAINVIEW MEDICAL CENTER,271306,,,N,MT,16 W MAIN ST,WHITE SULPHUR SPRING,59645,MEAGHER,,,Voluntary non-profit - Private,Critical Access Hospitals,West ,CAH,Not Available,25,,25,25,,Yes,30
MOUNTRAIL COUNTY MEDICAL CENTER INC,351301,,,N,ND,615 6TH ST SE,STANLEY,58784,MOUNTRAIL,,,Voluntary non-profit - Private,Critical Access Hospitals,Midwest ,CAH,Not Available,11,,11,11,,Yes,38
MS STATE HOSPITAL-WHITFIELD,254010,,,N,MS,3550 HIGHWAY 468 WEST / PO BOX 157-A,WHITFIELD,39193,RANKIN,,,Government - Local,Psychiatric,South ,,Not Available,,102,35,306,,Yes,28
MT ASCUTNEY HOSPITAL,471302,,,N,VT,289 COUNTY ROAD,WINDSOR,5089,WINDSOR,,,Voluntary non-profit - Private,Critical Access Hospitals,Northeast ,CAH,Not Available,25,,25,25,,Yes,50
MT ASCUTNEY HOSPITAL HEALTH CENTER,47R302,,,N,VT,289 COUNTY ROAD,WINDSOR,,Windsor,,,Non-profit,Rehabilitation hospital,Northeast ,,,,,,,,,50
MT SAN RAFAEL HOSPITAL,061321,,,N,CO,410 BENEDICTA AVE,TRINIDAD,81082,LAS ANIMAS,,,Voluntary non-profit - Private,Critical Access Hospitals,West ,CAH,Not Available,25,,25,25,,Yes,08
MT SINAI HOSPITAL MEDICAL CENTER,140018,,,N,IL,1500 S FAIRFIELD AVE,CHICAGO,60608,COOK,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,PPS,1,236,,431,431,222,Yes,17
MT SINAI MEDICAL CENTER,33T024,,,N,NY,ONE GUSTAVE L LEVY PLACE,NEW YORK,,New York,,,Non-profit,Rehabilitation hospital,Northeast ,,,,,,,,,36
MT. GRAHAM REGIONAL MEDICAL CENTER,030068,Non-profit?,,N,AZ,1600 SOUTH 20TH AVENUE,SAFFORD,85546,,,,,,West ,SCH,,25,,25,25,42,,04
MT. GRAHAM REGIONAL MEDICAL CENTER,031319,,,N,AZ,1600 SOUTH 20TH AVENUE,SAFFORD,,GRAHAM,,,Government - Hospital District or Authority,Critical Access Hospitals,West ,,Not Available,,,,,,Yes,04
MT. SINAI - ST. LUKES HOSPITAL CENTER,33T046,,,N,NY,1111 AMSTERDAM AVE- STY6 REHAB,NEW YORK,,New York,,,Non-profit,Rehabilitation hospital,Northeast ,,,,,,,,,36
MUENSTER MEMORIAL HOSPITAL,451335,,,N,TX,605 N MAPLE STREET,MUENSTER,76252,COOKE,,,Government - Hospital District or Authority,Critical Access Hospitals,South ,CAH,Not Available,18,,18,18,,Yes,48
MULESHOE AREA MEDICAL CENTER,451372,Preferred Management Corporation,,N,TX,708 S 1ST ST,MULESHOE,79347,BAILEY,,,Proprietary,Critical Access Hospitals,South ,CAH,Not Available,25,,25,25,,Yes,48
MULTICARE AUBURN MEDICAL CENTER,500015,,,N,WA,202 NORTH DIVISION STREET PLAZA ONE,AUBURN,98001,KING,,,Voluntary non-profit - Private,Acute Care Hospitals,West ,PPS,2,76,,195,195,129,Yes,53
MULTICARE AUBURN MEDICAL CENTER,50T015,,,N,WA,202 N DIVISION ST,AUBURN,,King,,,Non-profit,Rehabilitation hospital,West ,,,,,,,,,53
MULTICARE COVINGTON MEDICAL CENTER,500154,,,N,WA,17700 SE 272ND ST,COVINGTON,98042,KING,,,Voluntary non-profit - Private,Acute Care Hospitals,West ,PPS,Not Available,40,,58,58,56,Yes,53
MULTICARE GOOD SAMARITAN HOSPITAL,500079,,,N,WA,401 15TH AVENUE SE,PUYALLUP,98372,PIERCE,,,Voluntary non-profit - Private,Acute Care Hospitals,West ,PPS,1,311,,225,365,296,Yes,53
MULTICARE GOOD SAMARITAN HOSPITAL,50T079,,,N,WA,401 15TH AVE SE,PUYALLUP,,Pierce,,,Non-profit,Rehabilitation hospital,West ,,,,,,,,,53
MULTICARE VALLEY HOSPITAL,500119,,,N,WA,12606 EAST MISSION AVENUE,SPOKANE,99216,SPOKANE,,,Voluntary non-profit - Private,Acute Care Hospitals,West ,PPS,4,123,,123,123,118,Yes,53
MUNISING MEMORIAL HOSPITAL,231308,,,N,MI,1500 SAND POINT RD,MUNISING,49862,ALGER,,,Voluntary non-profit - Private,Critical Access Hospitals,Midwest ,CAH,Not Available,11,,25,25,,Yes,26
MUNSON HEALTHCARE CADILLAC HOSPITAL,230081,,,N,MI,400 HOBART ST,CADILLAC,49601,WEXFORD,,,Voluntary non-profit - Church,Acute Care Hospitals,Midwest ,SCH,5,49,,117,117,68,Yes,26
MUNSON HEALTHCARE GRAYLING HOSPITAL,230058,,,N,MI,1100 E MICHIGAN AVE,GRAYLING,49738,CRAWFORD,,,Voluntary non-profit - Church,Acute Care Hospitals,Midwest ,SCH,4,42,,90,90,46,Yes,26
MUNSON HEALTHCARE MANISTEE HOSPITAL,230303,,,N,MI,1465 E PARKDALE AVE,MANISTEE,49660,MANISTEE,,,Voluntary non-profit - Other,Acute Care Hospitals,Midwest ,SCH,4,45,,25,25,42,Yes,26
MUNSON HEALTHCARE OTSEGO MEMORIAL HOSPITAL,230133,,,N,MI,825 N CENTER AVE,GAYLORD,49735,OTSEGO,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,SCH,4,46,,53,53,44,No,26
MUNSON MEDICAL CENTER,230097,,,N,MI,1105 SIXTH STREET,TRAVERSE CITY,49684,GRAND TRAVERSE,,,Voluntary non-profit - Other,Acute Care Hospitals,Midwest ,SCH/RRC,5,399,,377,377,356,Yes,26
MURRAY CALLOWAY COUNTY HOSPITAL,18T027,,,N,KY,803 POPLAR STREET,MURRAY,,Calloway,,,Non-profit,Rehabilitation hospital,South ,,,,,,,,,21
MURRAY COUNTY MEMORIAL HOSPITAL,241319,,,N,MN,2042 JUNIPER AVENUE,SLAYTON,56172,MURRAY,,,Government - Local,Critical Access Hospitals,Midwest ,CAH,Not Available,21,,25,25,,Yes,27
MURRAY-CALLOWAY COUNTY HOSPITAL,180027,,,N,KY,803 POPLAR STREET,MURRAY,42071,CALLOWAY,,,Voluntary non-profit - Other,Acute Care Hospitals,South ,MDH/RRC,1,99,,140,140,92,Yes,21
MUSC FLORENCE REHABILITATION CENTER,42T091,,,N,SC,121 E CEDAR STREET,FLORENCE,,Florence,,,Government,Rehabilitation hospital,South ,,,,,,,,,45
MUSC HEALTH CHESTER MEDICAL CENTER,420019,MUSC Health,,N,SC,1 MEDICAL PARK DRIVE,CHESTER,29706,CHESTER,,,Proprietary,Acute Care Hospitals,South ,PPS,Not Available,16,,82,82,34,Yes,45
MUSC HEALTH FLORENCE MEDICAL CENTER,420091,MUSC Health,,N,SC,805 PAMPLICO HWY BOX 100550,FLORENCE,29505,FLORENCE,,,Government - State,Acute Care Hospitals,South ,RRC,3,187,,310,420,351,Yes,45
MUSC HEALTH LANCASTER MEDICAL CENTER,420036,MUSC Health,,N,SC,800 W MEETING ST,LANCASTER,29720,LANCASTER,,,Proprietary,Acute Care Hospitals,South ,SCH/RRC,3,78,,217,217,161,Yes,45
MUSC HEALTH LANCASTER REHABILITATION CTR,42T036,,,N,SC,800 W MEETING ST,LANCASTER,,Lancaster,,,For profit,Rehabilitation hospital,South ,,,,,,,,,45
MUSC HEALTH MARION MEDICAL CENTER,420055,,,N,SC,2829 E HWY 76,MULLINS,29574,MARION,,,Government - State,Acute Care Hospitals,South ,PPS,2,36,,124,124,89,Yes,45
MUSC MEDICAL CENTER,420004,,,N,SC,169 ASHLEY AVE,CHARLESTON,29425,CHARLESTON,,,Government - State,Acute Care Hospitals,South ,RRC,3,808,,713,713,658,Yes,45
MUSCOGEE (CREEK) NATION LONG TERM ACUTE CARE HOSPI,372023,,,N,OK,1401 MORRIS DRIVE,OKMULGEE,74447,Okmulgee,,,Tribal,LTACH,South ,,,,6,4,4,,,40
MUSCOGEE (CREEK) NATION MEDICAL CENTER,370057,,,N,OK,1401 MORRIS DRIVE,OKMULGEE,74447,OKMULGEE,,,Tribal,Acute Care Hospitals,South ,PPS,Not Available,50,,20,66,50,Yes,40
MUSKOGEE VA MEDICAL CENTER,37012F,,,N,OK,1011 HONOR HEIGHTS DRIVE,MUSKOGEE,,MUSKOGEE,,,Veterans Health Administration,Acute Care - Veterans Administration,South ,,5,,,,,,Yes,40
MYMICHIGAN MEDICAL CENTER ALMA,230030,,,N,MI,300 E WARWICK DR,ALMA,48801,GRATIOT,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,MDH/RRC,2,49,,130,142,45,Yes,26
MYMICHIGAN MEDICAL CENTER ALPENA,230036,MyMichigan Health,,N,MI,1501 W CHISHOLM ST,ALPENA,49707,ALPENA,,,Proprietary,Acute Care Hospitals,Midwest ,SCH/RRC,5,128,,150,150,122,Yes,26
MYMICHIGAN MEDICAL CENTER CLARE,230180,,,N,MI,703 N MCEWAN ST,CLARE,48617,CLARE,,,Voluntary non-profit - Other,Acute Care Hospitals,Midwest ,MDH,4,49,,64,64,47,No,26
MYMICHIGAN MEDICAL CENTER GLADWIN,231325,MyMichigan Health,,N,MI,515 QUARTER STREET,GLADWIN,48624,GLADWIN,,,Voluntary non-profit - Private,Critical Access Hospitals,Midwest ,CAH,4,25,,25,25,,Yes,26
MYMICHIGAN MEDICAL CENTER MIDLAND,230222,MyMichigan Health,,N,MI,4000 WELLNESS DRIVE,MIDLAND,48670,MIDLAND,,,Voluntary non-profit - Other,Acute Care Hospitals,Midwest ,SCH/RRC,4,324,,230,230,316,No,26
MYMICHIGAN MEDICAL CENTER WEST BRANCH,230095,,,N,MI,2463 SOUTH M-30,WEST BRANCH,48661,OGEMAW,,,Government - Local,Acute Care Hospitals,Midwest ,SCH,3,88,,88,88,86,Yes,26
MYRTUE MEDICAL CENTER,161374,,,N,IA,1213 GARFIELD AVENUE,HARLAN,51537,SHELBY,,,Government - Local,Critical Access Hospitals,Midwest ,CAH,4,25,,25,25,,Yes,19
NACOGDOCHES MEDICAL CENTER,450656,,,N,TX,4920 NE STALLINGS DRIVE,NACOGDOCHES,75965,NACOGDOCHES,,,Voluntary non-profit - Other,Acute Care Hospitals,South ,RRC,2,155,,150,150,156,Yes,48
NACOGDOCHES MEMORIAL HOSPITAL,450508,,,N,TX,1204 MOUND ST,NACOGDOCHES,75961,NACOGDOCHES,,,Government - Hospital District or Authority,Acute Care Hospitals,South ,RRC,2,120,,163,231,129,Yes,48
NANTUCKET COTTAGE HOSPITAL,220177,,,N,MA,57 PROSPECT STREET,NANTUCKET,2554,NANTUCKET,,,Voluntary non-profit - Private,Acute Care Hospitals,Northeast ,SCH,Not Available,14,,19,19,17,Yes,25
NAPLES COMMUNITY HOSPITAL,100018,,,N,FL,350 7TH ST N,NAPLES,34102,COLLIER,,,Voluntary non-profit - Private,Acute Care Hospitals,South ,RRC,4,512,,713,713,461,Yes,12
NASH GENERAL HOSPITAL,340147,,,N,NC,2460 CURTIS ELLIS DRIVE,ROCKY MOUNT,27804,NASH,,,Government - Hospital District or Authority,Acute Care Hospitals,South ,PPS,4,322,,332,332,311,Yes,37
NASHOBA VALLEY MEDICAL CENTER,220098,Steward Health Care,Cerberus Capital,N,MA,200 GROTON ROAD,AYER,1432,MIDDLESEX,,,Proprietary,Acute Care Hospitals,Northeast ,PPS,3,57,,57,57,54,Yes,25
NASSAU UNIVERSITY MEDICAL CENTER,330027,,,N,NY,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,11554,NASSAU,,,Government - Local,Acute Care Hospitals,Northeast ,PPS,1,340,,530,530,372,Yes,36
NASSAU UNIVERSITY MEDICAL CENTER,33T027,,,N,NY,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,,Nassau,,,Government,Rehabilitation hospital,Northeast ,,,,,,,,,36
NATCHAUG HOSPITAL,074008,,,N,CT,189 STORRS RD,MANSFIELD CENTER,6250,TOLLAND,,,Voluntary non-profit - Private,Psychiatric,Northeast ,,Not Available,,57,60,60,,No,09
NATCHITOCHES REGIONAL MEDICAL CENTER,190007,,,N,LA,501 KEYSER AVE,NATCHITOCHES,71457,NATCHITOCHES,,,Government - Hospital District or Authority,Acute Care Hospitals,South ,SCH,4,81,,96,96,79,Yes,22
NATHAN LITTAUER HOSPITAL,330276,,,N,NY,99 EAST STATE STREET,GLOVERSVILLE,12078,FULTON,,,Voluntary non-profit - Private,Acute Care Hospitals,Northeast ,MDH,4,58,,74,74,54,Yes,36
NATIONAL JEWISH HEALTH,060107,,,N,CO,1400 JACKSON ST,DENVER,80206,DENVER,,,Voluntary non-profit - Private,Acute Care Hospitals,West ,PPS,Not Available,13,,46,46,24,Yes,08
NATIONWIDE CHILDREN'S HOSPITAL,363305,,,N,OH,700 CHILDREN'S DRIVE,COLUMBUS,43205,FRANKLIN,,,Voluntary non-profit - Private,Childrens,Midwest ,,Not Available,,699,378,378,,Yes,39
"NATIONWIDE CHILDREN'S HOSPITAL TOLEDO, LLC",363309,,,N,OH,2213 CHERRY STREET,TOLEDO,,LUCAS,,,Voluntary non-profit - Private,Childrens,Midwest ,,Not Available,,,,,,No,39
NATIVIDAD MEDICAL CENTER,050248,,,N,CA,1441 CONSTITUTION BOULEVARD,SALINAS,93906,MONTEREY,,,Government - Local,Acute Care Hospitals,West ,PPS,3,148,,172,172,147,Yes,06
NAVARRO REGIONAL HOSPITAL,450447,,,N,TX,3201 WEST HIGHWAY 22,CORSICANA,75110,NAVARRO,,,Government - Hospital District or Authority,Acute Care Hospitals,South ,RRC,2,49,,147,162,48,Yes,48
NAVICENT HEALTH BALDWIN,110150,Atrium Health,,N,GA,821 NORTH COBB STREET,MILLEDGEVILLE,31061,BALDWIN,,,Proprietary,Acute Care Hospitals,South ,RRC,1,86,,140,140,100,Yes,13
NAVOS - INPATIENT SERVICES,504009,,,N,WA,2600 SOUTHWEST HOLDEN,SEATTLE,98126,KING,,,Voluntary non-profit - Private,Psychiatric,West ,,Not Available,,70,68,68,,No,53
NAZARETH HOSPITAL,390204,,,N,PA,2601 HOLME AVE,PHILADELPHIA,19152,PHILADELPHIA,,,Voluntary non-profit - Private,Acute Care Hospitals,Northeast ,PPS,1,152,,185,203,130,Yes,42
NAZARETH HOSPITAL REHAB,39T204,,,N,PA,2601 HOLME AVENUE,PHILADELPHIA,,Philadelphia,,,Non-profit,Rehabilitation hospital,Northeast ,,,,,,,,,42
NEA BAPTIST MEMORIAL HOSPITAL,04T118,,,N,AR,4800 E JOHNSON AVE,JONESBORO,,Craighead,,,Non-profit,Rehabilitation hospital,South ,,,,,,,,,05
"NEBRASKA SPINE HOSPITAL, LLC",280133,Surgical Care Affiliates,,N,NE,"6901 NORTH 72ND ST, STE 20300",OMAHA,68122,DOUGLAS,,,Proprietary,Acute Care Hospitals,Midwest ,PPS,Not Available,34,,34,34,34,No,31
NELL J REDFIELD MEMORIAL HOSPITAL,131303,,,N,ID,150 NORTH 200 WEST,MALAD,83252,ONEIDA,,,Government - Local,Critical Access Hospitals,West ,CAH,Not Available,11,,11,11,,Yes,16
NELSON COUNTY HEALTH SYSTEM,351308,,,N,ND,200 N MAIN ST,MCVILLE,58254,NELSON,,,Voluntary non-profit - Private,Critical Access Hospitals,Midwest ,CAH,Not Available,19,,19,19,,Yes,38
NEMAHA COUNTY HOSPITAL,281324,,,N,NE,2022 13TH STREET,AUBURN,68305,NEMAHA,,,Government - Local,Critical Access Hospitals,Midwest ,CAH,Not Available,16,,20,20,,Yes,31
NEMAHA VALLEY COMMUNITY HOSPITAL,171315,,,N,KS,1600 COMMUNITY DR,SENECA,66538,NEMAHA,,,Voluntary non-profit - Private,Critical Access Hospitals,Midwest ,CAH,Not Available,24,,22,22,,Yes,20
"NEMOURS CHILDREN'S HOSPITAL, DELAWARE",083300,,,N,DE,1600 ROCKLAND RD PO BOX 269,WILMINGTON,19899,NEW CASTLE,,,Voluntary non-profit - Private,Childrens,South ,,Not Available,,208,260,260,,Yes,10
"NEMOURS CHILDRENS HOSPITAL, FLORIDA",103304,,,N,FL,6535 NEMOURS PKWY,ORLANDO,32827,ORANGE,,,Voluntary non-profit - Private,Childrens,South ,,Not Available,,130,95,95,,Yes,12
NEOSHO MEMORIAL REGIONAL MEDICAL CENTER,171380,,,N,KS,629 SOUTH PLUMMER,CHANUTE,66720,NEOSHO,,,Government - Local,Critical Access Hospitals,Midwest ,CAH,2,21,,25,25,,Yes,20
NESHOBA COUNTY GENERAL HOSPITAL,250043,,,N,MS,1001 HOLLAND AVENUE,PHILADELPHIA,39350,NESHOBA,,,Government - Local,Acute Care Hospitals,South ,SCH,3,38,,82,82,35,Yes,28
NESS COUNTY HOSPITAL DISTRICT #2,171336,,,N,KS,312 CUSTER STREET,NESS CITY,67560,NESS,,,Government - Hospital District or Authority,Critical Access Hospitals,Midwest ,CAH,Not Available,25,,20,20,,Yes,20
NEURODIAGNOSTIC INSTITUTE,154008,,,N,IN,5435 E 16TH ST,INDIANAPOLIS,46218,MARION,,,Government - State,Psychiatric,Midwest ,,Not Available,,159,159,159,,Yes,18
NEVADA REGIONAL MEDICAL CENTER,260061,,,N,MO,800 S ASH ST,NEVADA,64772,VERNON,,,Government - Local,Acute Care Hospitals,Midwest ,SCH,3,41,,71,71,39,Yes,29
NEW ENGLAND BAPTIST HOSPITAL,220088,,,N,MA,125 PARKER HILL AVENUE,BOSTON,2120,SUFFOLK,,,Voluntary non-profit - Private,Acute Care Hospitals,Northeast ,RRC,5,98,,118,118,98,No,25
NEW ENGLAND SINAI HOSPITAL,222027,Steward Health Care,Cerberus Capital,N,MA,150 YORK STREET,STOUGHTON,2072,Norfolk,,,Non-profit,LTACH,Northeast ,,,,182,212,212,,,25
NEW HAMPSHIRE HOSPITAL,304000,,,N,NH,36 CLINTON STREET,CONCORD,3301,MERRIMACK,,,Government - State,Psychiatric,Northeast ,,Not Available,,184,230,230,,Yes,33
NEW HANOVER REGIONAL MEDICAL CENTER REHABILITATION,34T141,,,N,NC,2131 SOUTH 17TH STREET,WILMINGTON,,New Hanover,,,Government,Rehabilitation hospital,South ,,,,,,,,,37
NEW LIBERTY HOSPITAL DISTRICT,260177,,,N,MO,2525 GLENN HENDREN DR,LIBERTY,64069,CLAY,,,Government - Hospital District or Authority,Acute Care Hospitals,Midwest ,PPS,3,211,,250,250,177,Yes,29
NEW LONDON HOSPITAL,301304,,,N,NH,273 COUNTY ROAD,NEW LONDON,3257,MERRIMACK,,,Voluntary non-profit - Private,Critical Access Hospitals,Northeast ,CAH,4,25,,25,25,,Yes,33
NEW MEXICO REHABILITATION CENTER,323026,,,N,NM,72 GAIL HARRIS AVENUE,ROSWELL,88203,Chaves,,,Government,Rehabilitation hospital,West ,,,,15,43,43,,,35
NEW ORLEANS EAST HOSPITAL,190313,,,N,LA,5620 READ BLVD,NEW ORLEANS,70127,ORLEANS,,,Government - Hospital District or Authority,Acute Care Hospitals,South ,PPS,Not Available,60,,50,50,56,Yes,22
NEW ULM MEDICAL CENTER,241378,,,N,MN,1324 FIFTH NORTH STREET,NEW ULM,56073,BROWN,,,Voluntary non-profit - Private,Critical Access Hospitals,Midwest ,CAH,Not Available,24,,25,62,,Yes,27
NEW YORK CITY CHILDRENS PSYCH CENTER,334067,,,N,NY,7403 COMMONWEALTH BLVD,BELLEROSE,,QUEENS,,,Government - State,Psychiatric,Northeast ,,Not Available,,,,,,No,36
"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",330019,,,N,NY,2525 KINGS HIGHWAY,BROOKLYN,11229,KINGS,,,Voluntary non-profit - Private,Acute Care Hospitals,Northeast ,PPS,1,134,,134,134,134,Yes,36
NEW YORK STATE PSYCHIATRIC INSTITUTE,334009,,,N,NY,722 W 168TH ST,NEW YORK,10032,NEW YORK,,,Government - State,Psychiatric,Northeast ,,Not Available,,21,22,22,,No,36
NEW YORK-PRESBYTERIAN HOSPITAL,330101,,,N,NY,525 EAST 68TH STREET,NEW YORK,10065,NEW YORK,,,Voluntary non-profit - Private,Acute Care Hospitals,Northeast ,RRC,5,2334,,2262,2262,2344,Yes,36
NEW YORK-PRESBYTERIAN/BROOKLYN METHODIST HOSPITAL,330236,,,N,NY,506 SIXTH STREET,BROOKLYN,11215,KINGS,,,Voluntary non-profit - Private,Acute Care Hospitals,Northeast ,RRC,4,516,,591,591,530,Yes,36
NEW YORK-PRESBYTERIAN/QUEENS,330055,,,N,NY,56-45 MAIN STREET,FLUSHING,11355,QUEENS,,,Voluntary non-profit - Private,Acute Care Hospitals,Northeast ,RRC,5,476,,535,535,486,Yes,36
NEWARK BETH ISRAEL MEDICAL CENTER,310002,,,N,NJ,201 LYONS AVE,NEWARK,7112,ESSEX,,,Voluntary non-profit - Private,Acute Care Hospitals,Northeast ,PPS,2,422,,665,665,419,Yes,34
NEWARK-WAYNE COMMUNITY HOSPITAL,330030,,,N,NY,111 DRIVING PARK AVENUE,NEWARK,14513,WAYNE,,,Voluntary non-profit - Private,Acute Care Hospitals,Northeast ,MDH,3,101,,120,120,96,Yes,36
NEWBERRY COUNTY MEMORIAL HOSPITAL,420053,,,N,SC,2669 KINARD ST PO BOX 497,NEWBERRY,29108,NEWBERRY,,,Voluntary non-profit - Other,Acute Care Hospitals,South ,SCH,4,48,,90,90,46,Yes,45
NEWMAN MEMORIAL HOSPITAL,371336,,,N,OK,905 SOUTH MAIN STREET,SHATTUCK,73858,ELLIS,,,Government - Local,Critical Access Hospitals,South ,CAH,Not Available,25,,79,79,,Yes,40
NEWMAN REGIONAL HEALTH,171384,,,N,KS,1201 WEST 12TH AVENUE,EMPORIA,66801,LYON,,,Government - Local,Critical Access Hospitals,Midwest ,CAH,1,22,,25,53,,Yes,20
NEWMAN REGIONAL HEALTH,17R384,,,N,KS,1201 W. 12TH,EMPORIA,,Lyon,,,Government,Rehabilitation hospital,Midwest ,,,,,,,,,20
NEWPORT BAY HOSPITAL,054135,Beacon Health Services,,N,CA,1501 E 16TH ST,NEWPORT BEACH,92663,ORANGE,,,Proprietary,Psychiatric,West ,,Not Available,,36,34,34,,No,06
NEWPORT COMMUNITY HOSPITAL,501310,,,N,WA,714 WEST PINE STREET,NEWPORT,99156,PEND OREILLE,,,Government - Hospital District or Authority,Critical Access Hospitals,West ,CAH,Not Available,20,,25,25,,Yes,53
NEWPORT HOSPITAL,410006,,,N,RI,11 FRIENDSHIP STREET,NEWPORT,2840,NEWPORT,,,Voluntary non-profit - Private,Acute Care Hospitals,Northeast ,PPS,4,68,,129,129,105,Yes,44
NEWPORT HOSPITAL,41T006,,,N,RI,11 FRIENDSHIP STREET,NEWPORT,,Newport,,,Non-profit,Rehabilitation hospital,Northeast ,,,,,,,,,44
NEWTON MEDICAL CENTER,310028,,,N,NJ,175 HIGH ST,NEWTON,7860,SUSSEX,,,Voluntary non-profit - Private,Acute Care Hospitals,Northeast ,PPS,3,130,,148,148,128,Yes,34
